PeopleID	FullName	FullNameReversed	VIAFURL	WikipediaURL	WikipediaImageURL
adamsjohnq003736	John Quincy Adams	Adams, John Quincy	http://viaf.org/36980021/	http://en.wikipedia.org/wiki/John_Quincy_Adams	http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/John_Quincy_Adams_-_copy_of_1843_Philip_Haas_Daguerreotype.jpg/220px-John_Quincy_Adams_-_copy_of_1843_Philip_Haas_Daguerreotype.jpg
adamssamue000036	Samuel Adams	Adams, Samuel	http://viaf.org/73845465/	http://en.wikipedia.org/wiki/Samuel_Adams	http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/J_S_Copley_-_Samuel_Adams.jpg/220px-J_S_Copley_-_Samuel_Adams.jpg
adamsthoma024992	Thomas Adams	Adams, Thomas	http://viaf.org/48156980/		
adamwilli0000033	William Adam	Adam, William	http://viaf.org/45713784/	http://en.wikipedia.org/wiki/William_Adam_(MP)	http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/William_Adam.jpg/200px-William_Adam.jpg
addinhenry000039	Henry Addington, 1st Viscount Sidmouth	Addington, Henry, 1st Viscount Sidmouth	http://viaf.org/45043508/	http://en.wikipedia.org/wiki/Henry_Addington,_1st_Viscount_Sidmouth	http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/John_Singleton_Copley_-_Henry_Addington%2C_First_Viscount_Sidmouth.jpg/245px-John_Singleton_Copley_-_Henry_Addington%2C_First_Viscount_Sidmouth.jpg
addisjosep000041	Joseph Addison	Addison, Joseph	http://viaf.org/7413288/		
adolpj0000024589	John Adolphus	Adolphus, John	http://viaf.org/5026911/	http://en.wikipedia.org/wiki/John_Adolphus	
affrylouis002376	Louis Auguste Augustin d'Affry, comte d'Affry	Affry, Louis Auguste Augustin d', comte d'Affry	http://viaf.org/187531692/		
airygeorg0005736	Sir George Biddell Airy	Airy, Sir George Biddell	http://viaf.org/24591712/	http://en.wikipedia.org/wiki/George_Biddell_Airy	http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/George_Biddell_Airy.jpg/240px-George_Biddell_Airy.jpg
aissecharl000017	Charlotte Elisabeth Aïssé	Aïssé, Charlotte Elisabeth	http://viaf.org/76366587/		
