PeopleID	FullName	WikipediaURL	VIAFURL	KnowledgeNetwork	SocialNetwork	ProfessionalNetwork	ReligiousNetwork	Gender	Nationality
seymocharl003703	Charles Seymour, 6th duke of Somerset	http://en.wikipedia.org/wiki/Charles_Seymour,_6th_Duke_of_Somerset	http://viaf.org/75309518/		Court, Elite			Male	English
seymofranc004328	Frances Seymour, duchess of Somerset		http://viaf.org/66844504/	Letters_Literary		Artist		Female	English
seymofranc004663	Francis Seymour Conway, 1st marquess of Hertford				Court, Elite			Male	English
seytrjosep004462	Joseph de Seytres, marquis de Caumont		http://viaf.org/59080159/	Letters_Literary, Letters_Antiquarian, Collector	Elite			Male	French
sezeromai0003012	Romain de Sèze	http://en.wikipedia.org/wiki/Raymond_Desèze	http://viaf.org/4999962/		Government	Legal		Male	French
shackricha004141	Richard Shackleton		http://viaf.org/46610948/			Academic		Male	Irish
shaenjames025427	Sir James Shaen				Elite, Government			Male	Irish
sharpabrah024670	Abraham Sharp			Sciences_Mathematical, Sciences		Artisan		Male	English
sharpbuccl003134	Buccleuch Sharp					Publishing		Male	Scottish
sharpgranv003995	Granville Sharp	http://en.wikipedia.org/wiki/Granville_Sharp	http://viaf.org/49234753/					Male	English
sharpjohn0005624	Rev. John Sharpe						Clergy	Male	Scottish
sharpjohn0024796	John Sharp				Military			Male	American
sharpjoshu003135	Joshua Sharpe					Legal		Male	English
sharpmatth024529	Matthew Sharpe				Elite			Male	Scottish
sharpricha004636	Richard Sharp	http://en.wikipedia.org/wiki/Richard_Sharp_(politician)	http://viaf.org/78653883/					Male	English
sharpsamue003136	Samuel Sharpe					Medical		Male	English
sharrrober025304	Rev. Robert Sharrock			Sciences		Gardening-farming	Clergy	Male	English
shawangus0024276	Angus Shaw				Government	Trade-merchant		Male	Canadian
shawthoma0005260	Thomas Shaw		http://viaf.org/250696344/			Artist		Male	English
sheffjohn0005052	John Sheffield, 1st duke of Buckingham	http://en.wikipedia.org/wiki/John_Sheffield,_1st_Duke_of_Buckingham_and_Normanby	http://viaf.org/7818454/	Letters_Literary	Government	Artist		Male	English
sheffkathe005051	Katherine Sheffield, duchess of Buckingham		http://viaf.org/46637306/					Female	English
shenderdin024404	Mr — Shenderdine					Cultural		Male	English
shenswilli004329	William Shenstone	http://en.wikipedia.org/wiki/William_Shenstone	http://viaf.org/41890027/	Letters_Literary		Gardening-farming, Domestic, Artist		Male	English
sherbsamue024797	Samuel Sherburne	http://en.wikipedia.org/wiki/John_Samuel_Sherburne	http://viaf.org/70417184/		Government	Legal		Male	American
sheribetsy005159	Betsy Sheridan		http://viaf.org/49252345/	Letters_Literary				Female	Irish
shericharl005127	Charles Brinsley Sheridan			Letters_Literary	Government	Artist		Male	English
shericharl005691	Charles Francis Sheridan		http://viaf.org/5273708/	Letters_Literary				Male	Irish
sheridan00024317	Mr — Sheridan							Male	Irish
sherieliza005692	Elizabeth Ann Sheridan	http://en.wikipedia.org/wiki/Elizabeth_Ann_Linley	http://viaf.org/75097246/	Letters_Literary		Artist		Female	English
sheriffe00025717	Mr — Sheriffe					Domestic		Male	unknown
sheriheste005693	Hester Jane Sheridan			Letters_Literary				Female	English
sheriricha003138	Richard Brinsley Sheridan	http://en.wikipedia.org/wiki/Richard_Brinsley_Sheridan	http://viaf.org/9922178/	Letters_Literary	Government	Cultural		Male	Irish
sherithoma005184	Thomas Sheridan	http://en.wikipedia.org/wiki/Thomas_Sheridan_(actor)	http://viaf.org/3548458/	Letters_Antiquarian		Artist		Male	Irish
sherithoma005566	Rev. Thomas Sheridan					Academic	Clergy	Male	Irish
sheritom00005261	Tom Sheridan			Letters_Literary	Government	Cultural		Male	English
shermeliza024865	Elizabeth Sherman				Government			Female	American
shermnatha024798	Nathaniel Sherman					Finance-banking	Clergy	Male	American
shermroger024905	Roger Sherman	http://en.wikipedia.org/wiki/Roger_Sherman	http://viaf.org/10281526/			Trade-merchant		Male	American
shieljohn0005567	John Shiell					Trade-merchant		Male	Irish
